<REG>,PMS150C,PMS15A,PMC153,PMS156,PMS130,PMS131,PMS132B,PMS152,PFS154,PMS164,PMS165C,PFS172,PFS173,PMS133,PMS134,PMS232,PMS234,PMC251,PMS271
0x31,#,#,#,#,,TM3B,PWMG2CUBL,,PWMG2CUBL,,PWMG2CUBL,TM2CT,TM2CT,TM2CT,TM2CT,,,,
0x32,#,#,#,#,,,TM3C,,,TM3C,TM3C,TM2S,TM2S,TM2S,TM2S,,,,
0x33,#,#,#,#,,,TM3S,,,TM3CT,TM3CT,TM2B,TM2B,TM2B,TM2B,,,,
0x34,#,#,#,#,,,TM3CT,,,TM3S,TM3S,TM3C,TM3C,TM3C,TM3C,,,,
0x35,#,#,#,#,,,TM3B,,,TM3B,TM3B,TM3S,TM3S,TM3S,TM3S,,,,
0x36,#,#,#,#,BGTR,BGTR,ADC_BGTR,,,,RFCC,TM3CT,TM3CT,TM3CT,TM3CT,,,,
0x37,#,#,#,#,,TM2S,ADC_REFTR,,,,RFCCRH,TM3B,TM3B,TM3B,TM3B,TM2S,TM2S,,
0x38,#,#,#,#,,,ADC_OFSTR,,,,RFCCRL,,,,,A_IHRC,A_IHRC,A_IHRC,A_IHRC
0x39,#,#,#,#,TM3S,,ILRCR,ILRCR,ILRCR,ILRCR,ILRCR,,,,,BGTR,BGTR,(BGTR),BGTR
0x3A,#,#,#,#,ROP,ROP,ROP,ROP,,ROP,,,,,,,,,
0x3B,#,#,#,#,,,ADCC,,,,,ILRCR,,,,MISC,MISC,MISC,MISC
0x3C,#,#,#,#,TM2C,TM2C,ADCM,,,,,BGTR,,,,TM2C,TM2C,,
0x3D,#,#,#,#,TM2CT,TM2CT,ADCRGC,,,,,ROP,,,,TM2CT,TM2CT,,
0x3E,#,#,#,#,,,ADCR,,,,,,,,,,GPCC,,
0x3F,#,#,#,#,,,ADCRL,,,,,,,,,,,,
0x40,#,#,#,#,#,#,#,#,#,#,#,#,PWMG0C,PWMG0C,PWMG0C,,,,
0x41,#,#,#,#,#,#,#,#,#,#,#,#,PWMGCLK,PWMG0S,PWMG0S,,,,
0x42,#,#,#,#,#,#,#,#,#,#,#,#,PWMG0DTH,PWMG0DTH,PWMG0DTH,,,,
0x43,#,#,#,#,#,#,#,#,#,#,#,#,PWMG0DTL,PWMG0DTL,PWMG0DTL,,,,
0x44,#,#,#,#,#,#,#,#,#,#,#,#,PWMG0CUBH,PWMG0CUBH,PWMG0CUBH,,,,
0x45,#,#,#,#,#,#,#,#,#,#,#,#,PWMG0CUBL,PWMG0CUBL,PWMG0CUBL,,,,
0x46,#,#,#,#,#,#,#,#,#,#,#,#,PWMG1C,PWMG1C,PWMG1C,,,,
0x47,#,#,#,#,#,#,#,#,#,#,#,#,,PWMG1S,PWMG1S,,,,
0x48,#,#,#,#,#,#,#,#,#,#,#,#,PWMG1DTH,PWMG1DTH,PWMG1DTH,,,,
0x49,#,#,#,#,#,#,#,#,#,#,#,#,PWMG1DTL,PWMG1DTL,PWMG1DTL,,,,
0x4A,#,#,#,#,#,#,#,#,#,#,#,#,,PWMG1CUBH,PWMG1CUBH,,,,
0x4B,#,#,#,#,#,#,#,#,#,#,#,#,,PWMG1CUBL,PWMG1CUBL,,,,
0x4C,#,#,#,#,#,#,#,#,#,#,#,#,PWMG2C,PWMG2C,PWMG2C,,,,
0x4D,#,#,#,#,#,#,#,#,#,#,#,#,,PWMG2S,PWMG2S,,,,
0x4E,#,#,#,#,#,#,#,#,#,#,#,#,PWMG2DTH,PWMG2DTH,PWMG2DTH,,,,
0x4F,#,#,#,#,#,#,#,#,#,#,#,#,PWMG2DTL,PWMG2DTL,PWMG2DTL,,,,
0x50,#,#,#,#,#,#,#,#,#,#,#,#,,PWMG2CUBH,PWMG2CUBH,,,,
0x51,#,#,#,#,#,#,#,#,#,#,#,#,,PWMG2CUBL,PWMG2CUBL,,,,
0x52,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x53,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x54,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x55,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x56,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x57,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x58,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x59,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x5A,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x5B,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x5C,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x5D,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x5E,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x5F,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x60,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x61,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x62,#,#,#,#,#,#,#,#,#,#,#,#,ILRCR,ILRCR,ILRCR,,,,
0x63,#,#,#,#,#,#,#,#,#,#,#,#,BGTR,BGTR,BGTR,,,,
0x64,#,#,#,#,#,#,#,#,#,#,#,#,,ADC_BGTR,,,,,
0x65,#,#,#,#,#,#,#,#,#,#,#,#,,ADC_REFTR,,,,,
0x66,#,#,#,#,#,#,#,#,#,#,#,#,,ADC_OFSTR,,,,,
0x67,#,#,#,#,#,#,#,#,#,#,#,#,ROP,ROP,ROP,,,,
0x68,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x6A,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x6B,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x6C,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x6D,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x6E,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
0x6F,#,#,#,#,#,#,#,#,#,#,#,#,,,,,,,
